Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
93,Delilah,Tom Jones,1968,https://www.youtube.com/watch?v=si8gFU-RaDI,af1077cf2712924f37f6dd9a84df3c7bb4b2bf78e3b16ae516979411286ba303,Tom Jones - Delilah (1968) (Stereo / Lyrics),GBF076820060
94,We Found Love,Rihanna,2011,https://www.youtube.com/watch?v=tg00YEETFzg,164c9aa7c7de830217885d024218d88cbaba69602cd5474097dc76b3bf57b074,Rihanna - We Found Love ft. Calvin Harris,USUM71115507
95,Easy On Me,Adele,2021,https://www.youtube.com/watch?v=U3ASj1L6_sY,17aa0496a4801388ffe871f4d7a21b54c5890d65a05531326deccbb1cb546b86,Adele - Easy On Me (Official Video),USSM12105970
96,Material Girl,Madonna,1984,https://www.youtube.com/watch?v=6p-lDYPR2P8,ba667046bbdc1d4e0b2a8fb26d983d7233d9149e8ce7c5e0a8a4032afda03330,Madonna - Material Girl (Official Video) [HD],USWB10903617
97,"Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2",James Brown,1970,https://www.youtube.com/watch?v=XaNNPf1NqEk,3bbe0b444e23ddc460accc2f3a103ebac59a52e20eb73aae6e025c4ede46d278,James Brown - Get Up I Feel Like Being A Sex Machine (Official Music Video) HD,USF067025050
98,Rebel Yell,Billy Idol,1983,https://www.youtube.com/watch?v=VdphvuyaV_I,4910cca52c0aedea81d995c5c8f6822a1b187ea2837e1ff69bf6edcbfffce882,Billy Idol - Rebel Yell,USCH38400024
99,I Still Haven't Found What I'm Looking For,U2,1987,https://www.youtube.com/watch?v=e3-5YC_oHjE,33cec85aa73427ea479184a53cc5f08fb8985d5a4ba8eb25836c2963bb425b3e,U2 - I Still Haven't Found What I'm Looking For (Official Music Video),GBUM70709783
100,Higher Love - 1990 Original Mix,Whitney Houston,1990,https://www.youtube.com/watch?v=JR49dyo-y0E,6e8487ecc9b5fd5d4337233ce7f056f9cba90e506b62f3fe6f24c4fbbbc2aa1e,Kygo & Whitney Houston - Higher Love (Official Video),USAR10400779
101,Eisbär,Grauzone,1981,https://www.youtube.com/watch?v=4P_mDDpzmfE,3500e46e111f727b8a60beb71155d5d9f946a7eadf99a63a8bf483ba7d1f8b82,Grauzone-Eisbär,DETB31800774
102,Baby Jane - 2008 Remaster,Rod Stewart,1983,https://www.youtube.com/watch?v=dxl2r6GuL2w,e59b4a1b8484521c06500680b1b6009ea50b9977ef98b150adf30e9380c5ef8e,Rod Stewart - Baby Jane (Official Video),USWB10806973
